airfoil     e66      NACA4412      0.541
2.6689	1.5447	0.7339	37.7422
2.8088	1.5761	0.742	36.3849
2.9487	1.6045	0.749	35.0608
3.0887	1.6299	0.755	33.8183
3.2286	1.6525	0.7598	32.651
3.3686	1.6722	0.7636	31.5531
3.5205	1.6904	0.7666	30.4338
3.797	1.7156	0.769	28.5708
4.0756	1.7311	0.7676	26.8937
4.3542	1.7371	0.7627	25.3894
4.6329	1.7342	0.7544	24.0342
4.9115	1.7231	0.743	22.8083
5.1901	1.7042	0.7285	21.695
5.4687	1.6783	0.7112	20.6803
5.7473	1.6459	0.6913	19.7521
6.0259	1.6075	0.669	18.9003
6.3045	1.5637	0.6444	18.1161
6.5832	1.5152	0.6179	17.3921
6.8618	1.4626	0.5894	16.7218
7.1404	1.4063	0.5593	16.0996
7.419	1.347	0.5278	15.5207
7.6976	1.2853	0.495	14.9807
7.9762	1.2217	0.4611	14.476
8.2548	1.1568	0.4263	14.0032
8.5334	1.0913	0.3908	13.5596
8.8121	1.0257	0.3548	13.1425
9.0907	0.9606	0.3186	12.7497
9.3693	0.8965	0.2821	12.3791
9.6479	0.8341	0.2458	12.029
9.9265	0.7739	0.2097	11.6977
10.2051	0.7166	0.1741	11.3838
10.4837	0.6626	0.1392	11.0858
10.7604	0.5538	0.0471	10.7306
11	0.0287	-0.4601	10.0098
