airfoil      E 63    NACA4412    0.54
2.1	       1.349	0.6374	42.2818
2.22	     1.3813	0.6463	40.7053
2.34	     1.4121	0.6542	39.2206
2.46	     1.4406	0.661	37.8245
2.58	     1.4662	0.6668	36.5109
2.7	       1.489	0.6716	35.2739
2.8202	1.5091	0.6754	34.1066
3.0397	1.5389	0.6801	32.1415
3.2793	1.5619	0.6817	30.2164
3.5189	1.5755	0.6799	28.4905
3.7585	1.58	        0.6748	26.9369
3.9982	1.5763	0.6667	25.5331
4.2378	1.5647	0.6557	24.2599
4.4774	1.5459	0.642	23.1009
4.717	1.5205	0.6258	22.0424
4.9566	1.489	0.6072	21.0724
5.1963	1.452	0.5865	20.1807
5.4359	1.41	       0.5638	19.3586
5.6755	1.3637	0.5393	18.5986
5.9151	1.3136	0.5132	17.8941
6.1547	1.2603	0.4856	17.2395
6.3943	1.2043	0.4567	16.6298
6.634	1.1462	0.4267	16.0606
6.8736	1.0866	0.3959	15.5282
7.1132	1.026	0.3643	15.0292
7.3528	0.9651	0.3321	14.5605
7.5924	0.9044	0.2996	14.1197
7.8321	0.8444	0.2668	13.7042
8.0717	0.7858	0.2341	13.3121
8.3113	0.729	0.2014	12.9414
8.5509	0.6748	0.1692	12.5904
8.7905	0.6235	0.1374	12.2578
9.0302	0.5759	0.1064	11.9419
9.256	0.5042	0.0479	11.6586
9.481	0.0976	-0.3422	11.3893
9.5	     0.0248	-0.4131	11.3893
